,timepoint,time (s),index range around maximum,values range around maximum,max parabola,deviation (pixel),deviation (nm),threshold (nm),thresholded deviation
0,183.0,44.5,"(17, 18, 19, 20, 21, 22, 23)",[1845 2162 2555 2908 2779 2054 1340],19.806943376889535,2.52548979844088,260.6305471990988,418.04051352186065,True
0,184.0,44.75,"(17, 18, 19, 20, 21, 22, 23)",[1824 2191 2581 2900 2788 2045 1317],19.799283452757837,2.5178298743091823,259.8400430287076,418.04051352186065,True
0,185.0,45.0,"(17, 18, 19, 20, 21, 22, 23)",[1841 2113 2457 2867 2867 2157 1361],19.87637795275587,2.5949243743072152,267.79619542850463,418.04051352186065,True
0,186.0,45.25,"(17, 18, 19, 20, 21, 22, 23)",[1886 2161 2527 2885 2766 2022 1311],19.76858492216193,2.4871313437132763,256.67195467121013,418.04051352186065,True
0,187.0,45.5,"(17, 18, 19, 20, 21, 22, 23)",[2006 2261 2506 2829 2789 2099 1358],19.713177921202153,2.4317243427534976,250.95395217216094,418.04051352186065,True
0,188.0,45.75,"(17, 18, 19, 20, 21, 22, 23)",[1964 2186 2474 2789 2666 1950 1344],19.68015145476281,2.3986978763141558,247.54562083562087,418.04051352186065,True
0,189.0,46.0,"(17, 18, 19, 20, 21, 22, 23)",[2060 2300 2560 2807 2605 1887 1226],19.521568055960316,2.2401144775116606,231.17981407920337,418.04051352186065,True
0,190.0,46.25,"(17, 18, 19, 20, 21, 22, 23)",[2073 2325 2728 2967 2686 1931 1310],19.58209021884765,2.300636640398995,237.4257012891763,418.04051352186065,True
0,191.0,46.5,"(17, 18, 19, 20, 21, 22, 23)",[2121 2413 2710 2954 2630 1869 1305],19.493368204744947,2.2119146262962914,228.2695894337773,418.04051352186065,True
0,192.0,46.75,"(17, 18, 19, 20, 21, 22, 23)",[2119 2402 2716 2887 2594 1874 1266],19.468824031081155,2.1873704526325,225.736630711674,418.04051352186065,True
0,193.0,47.0,"(17, 18, 19, 20, 21, 22, 23)",[2140 2488 2799 2949 2555 1740 1182],19.384690611664244,2.1032370332155885,217.05406182784873,418.04051352186065,True
0,194.0,47.25,"(17, 18, 19, 20, 21, 22, 23)",[1997 2357 2716 2873 2496 1750 1154],19.47731469269318,2.1958611142445257,226.61286699003506,418.04051352186065,True
0,195.0,47.5,"(17, 18, 19, 20, 21, 22, 23)",[2088 2415 2757 2890 2574 1819 1158],19.448246931025302,2.166793352576647,223.61307398590998,418.04051352186065,True
0,196.0,47.75,"(17, 18, 19, 20, 21, 22, 23)",[2114 2365 2629 2811 2594 1883 1225],19.461832061068648,2.180378482619993,225.01505940638327,418.04051352186065,True
0,197.0,48.0,"(17, 18, 19, 20, 21, 22, 23)",[2074 2340 2734 2940 2649 1913 1230],19.542848362454958,2.2613947840063027,233.37594170945044,418.04051352186065,True
0,198.0,48.25,"(17, 18, 19, 20, 21, 22, 23)",[1993 2161 2456 2733 2574 1940 1263],19.61291315951545,2.3314595810667953,240.60662876609325,418.04051352186065,True
0,199.0,48.5,"(17, 18, 19, 20, 21, 22, 23)",[1996 2176 2416 2705 2656 2073 1345],19.69151216375518,2.410058585306526,248.7180460036335,418.04051352186065,True
0,200.0,48.75,"(18, 19, 20, 21, 22, 23, 24)",[2105 2355 2711 2729 2071 1319  945],20.072313224131044,2.7908596456823886,288.0167154344225,418.04051352186065,True
0,201.0,49.0,"(18, 19, 20, 21, 22, 23, 24)",[2079 2392 2776 2790 2154 1356  958],20.15601486298188,2.8745612845332253,296.65472456382884,418.04051352186065,True
0,202.0,49.25,"(18, 19, 20, 21, 22, 23, 24)",[2063 2351 2678 2759 2261 1523 1080],20.256954034326295,2.97550045587764,307.0716470465724,418.04051352186065,True
0,203.0,49.5,"(17, 18, 19, 20, 21, 22, 23)",[1802 2141 2517 2781 2738 2245 1505],19.933069345180574,2.6516157667319185,273.646747126734,418.04051352186065,True
0,204.0,49.75,"(18, 19, 20, 21, 22, 23, 24)",[2079 2411 2772 2800 2227 1489 1103],20.224701079031785,2.94324750058313,303.74314206017897,418.04051352186065,True
0,205.0,50.0,"(17, 18, 19, 20, 21, 22, 23)",[1815 2063 2400 2745 2737 2093 1354],19.8597572539351,2.5783036754864455,266.08093931020113,418.04051352186065,True
0,206.0,50.25,"(17, 18, 19, 20, 21, 22, 23)",[1812 2082 2448 2758 2652 2020 1362],19.81791244503915,2.5364588665904932,261.7625550321389,418.04051352186065,True
0,207.0,50.5,"(17, 18, 19, 20, 21, 22, 23)",[1830 2101 2414 2724 2675 2032 1341],19.804423748544785,2.52297017009613,260.3705215539206,418.04051352186065,True
0,208.0,50.75,"(17, 18, 19, 20, 21, 22, 23)",[1812 2062 2393 2669 2605 2053 1408],19.840438871473317,2.558985293024662,264.08728224014516,418.04051352186065,True
0,209.0,51.0,"(18, 19, 20, 21, 22, 23, 24)",[2088 2373 2678 2747 2219 1432  995],20.178682774746687,2.8972291962980314,298.9940530579568,418.04051352186065,True
0,210.0,51.25,"(18, 19, 20, 21, 22, 23, 24)",[1928 2272 2662 2761 2218 1407  964],20.322968638631497,3.0415150601828422,313.8843542108693,418.04051352186065,True
0,211.0,51.5,"(18, 19, 20, 21, 22, 23, 24)",[2166 2442 2676 2696 2154 1366  935],20.02236667007882,2.7409130916301656,282.8622310562331,418.04051352186065,True
0,212.0,51.75,"(17, 18, 19, 20, 21, 22, 23)",[1777 2035 2409 2802 2777 2128 1389],19.916331382589586,2.634877804140931,271.9193893873441,418.04051352186065,True
0,213.0,52.0,"(17, 18, 19, 20, 21, 22, 23)",[1878 2096 2451 2800 2749 2095 1364],19.82351274787532,2.5420591694266648,262.3405062848318,418.04051352186065,True
0,214.0,52.25,"(17, 18, 19, 20, 21, 22, 23)",[1856 2107 2453 2706 2650 2104 1325],19.7943879546343,2.512934376185644,259.33482762235843,418.04051352186065,True
0,215.0,52.5,"(17, 18, 19, 20, 21, 22, 23)",[1858 2140 2477 2723 2627 2029 1299],19.748200403109664,2.4667468246610085,254.56827230501605,418.04051352186065,True
0,216.0,52.75,"(17, 18, 19, 20, 21, 22, 23)",[1804 2102 2449 2784 2710 2058 1287],19.81475174762499,2.5332981691763337,261.4363710589976,418.04051352186065,True
0,217.0,53.0,"(17, 18, 19, 20, 21, 22, 23)",[1780 2043 2446 2769 2698 2007 1254],19.81504674545772,2.533593167009066,261.46681483533564,418.04051352186065,True
0,218.0,53.25,"(17, 18, 19, 20, 21, 22, 23)",[1816 2076 2420 2773 2742 2073 1262],19.81953879156235,2.538085213113696,261.93039399333344,418.04051352186065,True
